Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Town House,New Capital City,3.0,220.0,190000,1190186.4698935784,84.0
Chalet,Ain Sukhna,2.0,125.0,143000,894442.4239681002,84.0
Chalet,North Coast,3.0,125.0,298000,1849913.3928612368,83.9
Chalet,Ain Sukhna,2.0,95.0,200000,1245879.9526055313,83.9
Apartment,New Capital City,3.0,150.0,169000,1051271.7640814749,83.9
Chalet,Ain Sukhna,1.0,102.0,245000,1518764.8593056411,83.9
Town House,Shorouk City,3.0,200.0,235200,1459445.9426908405,83.9
Chalet,North Coast,2.0,85.0,190000,1183049.2184912793,83.9
Chalet,Ras Sedr,3.0,100.0,200000,1233849.8670485357,83.8
Chalet,North Coast,3.0,175.0,450000,2780053.985531357,83.8
Penthouse,Alamein,4.0,322.0,375000,2316166.8061179896,83.8
Chalet,Alamein,2.0,58.0,110000,672897.9603787609,83.7
Chalet,North Coast,2.0,100.0,315000,1937016.7756203786,83.7
Apartment,New Hut - El Tagamoa,2.0,144.0,120000,736816.0008567453,83.7
Chalet,Ain Sukhna,2.0,115.0,212900,1296122.2106931657,83.6
Twin House,Sheikh Zayed,4.0,210.0,332500,2024875.3353733427,83.6
Apartment,New Hut - El Tagamoa,2.0,117.0,147920,902141.1803713774,83.6
Town House,North Coast,4.0,164.0,277000,1684939.1890286508,83.6
Chalet,Ain Sukhna,3.0,136.0,175000,1068310.6902002955,83.6
Apartment,New Capital City,3.0,166.0,179000,1091649.2785586794,83.6
Apartment,New Mansoura,2.0,114.0,134000,815487.6388443368,83.6
Apartment,New Hut - El Tagamoa,2.0,170.0,182000,1100016.9564208214,83.5
Chalet,Ain Sukhna,2.0,90.0,90000,546295.71873386,83.5
Studio,New Hut - El Tagamoa,1.0,84.0,74000,448758.77459230105,83.5
Stand Alone Villa,Rehab City,5.0,600.0,1800000,10926258.756401928,83.5
Chalet,Ain Sukhna,1.0,73.0,100000,601174.0789518862,83.4
Twin House,Sheikh Zayed,4.0,330.0,800000,4832866.647312332,83.4
Chalet,North Coast,2.0,100.0,280000,1685616.121425704,83.4
Town House,Sheikh Zayed,4.0,267.0,520000,3126866.5976634747,83.4
Chalet,North Coast,2.0,97.0,160000,957952.8541308921,83.3
Apartment,New Hut - El Tagamoa,3.0,158.0,389300,2332060.082910033,83.3
Apartment,Mostakbal City,3.0,160.0,152000,911981.3564612193,83.3
Stand Alone Villa,North Coast,4.0,450.0,1550000,9233404.732722942,83.2
Chalet,New Hut - El Tagamoa,1.0,55.0,55000,327838.2100998546,83.2
Town House,6th of October,3.0,220.0,500000,2975524.2482018247,83.2
Chalet,North Coast,2.0,108.0,130000,769217.0530829224,83.1
Apartment,New Hut - El Tagamoa,3.0,165.0,290000,1716011.3629292499,83.1
Stand Alone Villa,6th of October,4.0,500.0,450000,2650645.4673326956,83.0
Chalet,North Coast,3.0,110.0,270000,1592738.9232339684,83.0
Chalet,Ain Sukhna,2.0,100.0,170000,1002751.5345001313,83.0
Twin House,Ain Sukhna,4.0,180.0,210000,1233816.3867679772,83.0
Stand Alone Villa,Rehab City,4.0,580.0,1100000,6488272.026567423,83.0
Apartment,New Capital City,3.0,144.0,130000,765357.7032189374,83.0
Duplex,North Coast,4.0,227.0,306000,1797979.1609210973,83.0
Stand Alone Villa,Sheikh Zayed,5.0,250.0,350000,2045644.5719668614,82.9
